lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.4426,0.4181,0.4177,0.5419,0.4407,0.0102,-0.9999,0.6683,0.4167,0.2083
0.4288,0.4085,0.4085,0.5191,0.4387,0.0087,-1.0000,0.6681,0.4167,0.2083
0.4194,0.3992,0.3998,0.4918,0.4382,0.0072,-1.0000,0.6679,0.4167,0.2083
0.4047,0.3898,0.3917,0.4778,0.4357,0.0057,-1.0000,0.6678,0.4167,0.2083
0.3910,0.3805,0.3841,0.4539,0.4339,0.0042,-1.0000,0.6677,0.4167,0.2083
0.3781,0.3711,0.3789,0.4318,0.4327,0.0027,-1.0000,0.6677,0.4167,0.2083
0.3695,0.3652,0.3741,0.4160,0.4323,0.0012,-1.0000,0.6677,0.4167,0.2083
0.3581,0.3559,0.3681,0.3969,0.4327,-0.0003,-1.0000,0.6677,0.4167,0.2083
0.3506,0.3497,0.3626,0.3831,0.4336,-0.0018,-1.0000,0.6678,0.4167,0.2083
0.3403,0.3403,0.3575,0.3699,0.4352,-0.0033,-1.0000,0.6679,0.4167,0.2083
0.3348,0.3326,0.3555,0.3594,0.4361,-0.0049,-1.0000,0.6681,0.4167,0.2083
0.3288,0.3297,0.3524,0.3448,0.4368,-0.0063,-1.0000,0.6683,0.4167,0.2083
0.3197,0.3217,0.3491,0.3314,0.4402,-0.0078,-1.0000,0.6685,0.4167,0.2083
0.3107,0.3143,0.3466,0.3311,0.4469,-0.0093,-1.0000,0.6688,0.4167,0.2083
0.3045,0.3076,0.3442,1.0000,0.4548,-0.0107,-0.9999,0.6691,0.4167,0.2083
0.3017,0.3016,0.3430,1.0000,0.4643,-0.0121,-0.9999,0.6694,0.4167,0.2083
0.3032,0.3018,0.3422,1.0000,0.4759,-0.0135,-0.9999,0.6698,0.4167,0.2083
0.3033,0.3013,0.3422,1.0000,0.4898,-0.0149,-0.9999,0.6702,0.4167,0.2083
0.3033,0.3011,0.3430,1.0000,0.5065,-0.0162,-0.9999,0.6707,0.4167,0.2083
1.0000,0.3009,0.3443,1.0000,0.5060,-0.0175,-0.9998,0.6712,0.4167,0.2083
1.0000,0.3008,0.3478,1.0000,0.5311,-0.0188,-0.9998,0.6717,0.4167,0.2083
1.0000,0.3006,0.3515,1.0000,0.5477,-0.0201,-0.9998,0.6722,0.4167,0.2083
1.0000,0.3005,0.3564,1.0000,0.5808,-0.0213,-0.9998,0.6728,0.4167,0.2083
1.0000,0.3004,0.3600,1.0000,0.6075,-0.0225,-0.9997,0.6734,0.4167,0.2083
1.0000,0.3003,0.3658,1.0000,0.6561,-0.0237,-0.9997,0.6741,0.4167,0.2083
1.0000,0.3001,0.3755,1.0000,0.6955,-0.0248,-0.9997,0.6747,0.4167,0.2083
1.0000,0.2999,0.3817,1.0000,0.7762,-0.0259,-0.9997,0.6754,0.4167,0.2083
1.0000,0.3001,0.3957,1.0000,0.8801,-0.0269,-0.9996,0.6761,0.4167,0.2083
1.0000,0.3001,0.4127,1.0000,0.9320,-0.0279,-0.9996,0.6769,0.4167,0.2083
1.0000,0.3004,0.4321,1.0000,0.9321,-0.0289,-0.9996,0.6777,0.4167,0.2083
0.3025,0.3010,0.4445,1.0000,0.9324,-0.0298,-0.9996,0.6785,0.4167,0.2083
0.3025,0.3011,0.4684,1.0000,0.9330,-0.0307,-0.9995,0.6793,0.4167,0.2083
0.3028,0.3006,0.5010,1.0000,0.9338,-0.0315,-0.9995,0.6802,0.4167,0.2083
0.3023,0.3063,0.5424,1.0000,0.9347,-0.0322,-0.9995,0.6810,0.4167,0.2083
